Rank,Title,Year,Rating,Director,Actors,Number of User Ratings
219,The Bourne Ultimatum,2007,8.0,Paul Greengrass,"Matt Damon, Edgar Ramírez",628070
220,Brief Encounter,1945,8.0,David Lean,"Celia Johnson, Trevor Howard",39707
221,Magnolia,1999,8.0,Paul Thomas Anderson,"Tom Cruise, Jason Robards",308315
222,Avengers Assemble,2012,8.0,Joss Whedon,"Robert Downey Jr., Chris Evans",1357039
223,Sin City,2005,8.0,Frank Miller,"Mickey Rourke, Clive Owen",760943
224,What Ever Happened to Baby Jane?,1962,8.0,Robert Aldrich,"Bette Davis, Joan Crawford",55125
225,The King's Speech,2010,8.0,Tom Hooper,"Colin Firth, Geoffrey Rush",671717
226,Rain Man,1988,8.0,Barry Levinson,"Dustin Hoffman, Tom Cruise",504264
227,Kind Hearts and Coronets,1949,8.0,Robert Hamer,"Dennis Price, Alec Guinness",37084
228,La La Land,2016,8.0,Damien Chazelle,"Ryan Gosling, Emma Stone",566478
229,Casino Royale,2006,8.0,Martin Campbell,"Daniel Craig, Eva Green",645641
230,The Graduate,1967,8.0,Mike Nichols,"Dustin Hoffman, Anne Bancroft",269827
231,Who's Afraid of Virginia Woolf?,1966,8.0,Mike Nichols,"Elizabeth Taylor, Richard Burton",74515
232,Zootropolis,2016,8.0,Byron Howard,"Ginnifer Goodwin, Jason Bateman",482936
233,The Legend of 1900,1998,8.0,Giuseppe Tornatore,"Tim Roth, Pruitt Taylor Vince",63545
234,Sweet Smell of Success,1957,8.0,Alexander Mackendrick,"Burt Lancaster, Tony Curtis",31500
235,Black Swan,2010,8.0,Darren Aronofsky,"Natalie Portman, Mila Kunis",747430
236,The Straight Story,1999,8.0,David Lynch,"Richard Farnsworth, Sissy Spacek",89468
237,Dogville,2003,8.0,Lars von Trier,"Nicole Kidman, Paul Bettany",147182
238,Twelve Monkeys,1995,8.0,Terry Gilliam,"Bruce Willis, Madeleine Stowe",609324
239,The Martian,2015,8.0,Ridley Scott,"Matt Damon, Jessica Chastain",829762
240,Planet of the Apes,1968,8.0,Franklin J. Schaffner,"Charlton Heston, Roddy McDowall",177778
241,The Pursuit of Happyness,2006,8.0,Gabriele Muccino,"Will Smith, Thandiwe Newton",496665
242,Blood Diamond,2006,8.0,Edward Zwick,"Leonardo DiCaprio, Djimon Hounsou",537907
243,Secrets & Lies,1996,8.0,Mike Leigh,"Timothy Spall, Brenda Blethyn",42785
244,The Night of the Hunter,1955,8.0,Charles Laughton,"Robert Mitchum, Shelley Winters",88336
245,Papillon,1973,8.0,Franklin J. Schaffner,"Steve McQueen, Dustin Hoffman",129280
246,The Message,1976,8.0,Moustapha Akkad,"Anthony Quinn, Irene Papas",47102
247,Annie Hall,1977,8.0,Woody Allen,"Woody Allen, Diane Keaton",262871
248,Her,2013,8.0,Spike Jonze,"Joaquin Phoenix, Amy Adams",594071
249,Sling Blade,1996,8.0,Billy Bob Thornton,"Billy Bob Thornton, Dwight Yoakam",93184
250,Cinderella Man,2005,8.0,Ron Howard,"Russell Crowe, Renée Zellweger",185686
